text,sentiment
"

me whats up man

jb getting frustrated wthis woman even when shes not around

me damn bro what happened

jb i married her  USERID ",1
"
katanapornx  USERID USERID URL
asian penetrated by big fat cock 
  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID URL  USERID ",0
"
so where the hell was biggles 
when you needed him last saturday
  USERID ",2
USERID USERID  USERID cock crazed granny gives hot blowjob to her black lover URL  USERID ,1
USERID USERID  USERID finally finished this and its so damn good   USERID ,0
USERID USERID  USERID hot lisa ann blowjob URL  USERID ,0
USERID USERID  USERID hunky brunette hottie toys her shaved tight cunt URL  USERID ,0
USERID USERID  USERID maria ozawa squi n fuck URL  USERID ,0
USERID USERID you should open a location in minneapolis because you rule amp minneapolis would soak that shit in  USERID ,2
i block your stupid ass for a reason my bad you dont have the same tag cunt  USERID ,2
" USERID 

the theme was 

first gay pride march in london on this day in 1972  USERID ",0
USERID  USERID  USERID  USERID  USERID  USERID   USERID  USERID  a sexy light skin whore giving a blowjob to URL  USERID ,0
USERID  USERID  USERID  USERID  USERID  USERID   USERID  USERID  hardcore anal doggy style fuck scene URL  USERID ,0
USERID  USERID  USERID  USERID  USERID  USERID clean up time  aj monroe  johnny rapid  str8 to gay URL  USERID ,0
USERID  USERID  USERID  USERID  USERID USERID spaz URL  USERID ,0
USERID  USERID  USERID  USERID commitment to the cunt URL  USERID ,0
" USERID  USERID  USERID  USERID run like hell by kittie  USERID USERID URL
URL  USERID ",0
USERID  USERID  USERID USERID gt URL lt URL femdom handjob big cock URL  USERID ,0
USERID  USERID  USERID USERID gt URL lt group anal sex involving three big tit milfs URL  USERID ,0
USERID  USERID  USERID USERID gt URL lt sexy babe is groped and pleasured before a hard fuck URL  USERID ,0
USERID  USERID  USERID USERID lawrence fucked the shit out of tasha  USERID ,1
USERID  USERID  USERID flash hider muzzle cap with screw thread for nerf toy suppressor silencer URL URL  USERID ,0
USERID  USERID  USERID fuck me on cam now URL  USERID ,0
USERID  USERID  USERID good shit last night  USERID USERID URL  USERID ,0
USERID  USERID  USERID hell hath no furry… URL  USERID ,1
" USERID  USERID  USERID ocrp

s  USERID  as kingsley iorweh reygan

so guys being a dick wont make yours any bigger… URL  USERID ",0
USERID  USERID  USERID svelte princess shows off her curves and gives blowjob on URL  USERID ,0
" USERID  USERID 2010
sexy as fuck  USERID nun in a swimsuit enough said 
funny one URL  USERID ",0
USERID  USERID USERID   USERID USERID  USERID USERID takes a dick for her debt from  USERID USERID  USERID USERID URL  USERID  USERID URL  USERID ,0
USERID  USERID USERID   USERID got that  USERID money coming every july 1 until 2035 damn i played the wrong spo 🤑 URL  USERID ,0
" USERID  USERID USERID  USERID 
lets just put it out there  grayson has anxiety so sit yo bitch asses down  yall do…  USERID ",1
" USERID  USERID USERID  USERID 
listen bitch youre toxic youre a disgrace youre human waste twisting lies denying truths 
yo…  USERID ",1
" USERID  USERID USERID  USERID   USERID USERID its a play 

oh shit now URL  USERID ",0
USERID  USERID USERID  USERID  USERID  USERID USERID imagine carrying a child for 9 months just to have it grow up and do some shit like this URL  USERID ,0
USERID  USERID USERID  USERID  USERID  USERID USERID yall dont be strapping your wigs down properly i can see what u thinkin under that frontal bitch  USERID ,1
USERID  USERID USERID  USERID  USERID  USERID fuck  USERID ,0
USERID  USERID USERID  USERID  USERID URL gay cams  URL  USERID ,0
" USERID  USERID USERID  USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID 
  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID 
  USERID USERID  USERID USERID  USERID USERID 


  USERID USERID  USERID USERID 
  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID 
  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID 
  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID iss my dick  USERID ",1
USERID  USERID USERID  USERID  USERID USERID fake time magazine covers of himself at his propeies you cant make this shit up  URL  USERID ,0
USERID  USERID USERID  USERID  USERID USERID fuck outta my mentions URL  USERID ,1
USERID  USERID USERID  USERID  USERID USERID gay men declare taylor swift the queen of pop URL  USERID ,0
USERID  USERID USERID  USERID  USERID USERID im so fuckin sick and tired of the photoshopshow me something natural like ass with some cellulites…  USERID USERID  USERID ,1
USERID  USERID USERID  USERID  USERID USERID this is the best shit i ever seen in my life URL  USERID ,0
USERID  USERID USERID  USERID  USERID USERID trump is the only leader who tweets shit does not know how to use social mediaas a leader  USERID  USERID ,1
USERID  USERID USERID  USERID  USERID dong mau difollow  USERID ,0
USERID  USERID USERID  USERID  USERID dong yang kepikiran pengen lepas rp  USERID ,0
" USERID  USERID USERID  USERID  USERID i just want to shoot incredible visuals amp keep creating great music

i want to tour amp give a hell of a show 
https…  USERID ",0
USERID  USERID USERID  USERID 180k is not a millionaire but it is shit tons more than what most australians earn the tax cuts r not good…  USERID ,1
" USERID  USERID USERID  USERID USERID  USERID USERID 

how the hell is it misogyny to compliment a smile  USERID ",1
" USERID  USERID USERID  USERID USERID  USERID USERID 
how many times did you think you could call  USERID USERID a liar wo him hitting back fuck w the bull…  USERID USERID  USERID ",1
USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID also learn what the hell shade is  USERID USERID shade…  USERID USERID  USERID ,1
USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID and cnn has been covering these issues damn it…  USERID USERID  USERID ,1
USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID damn lol URL  USERID ,0
USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID dont tag my kids in pictures with this hoe  USERID ,0
USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID i would rather stick my dick in a toaster  USERID ,1
USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID na mate hes shit  USERID  USERID ,1
USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID what the fuck is that  USERID ,1
USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID are you that stoned karl kohn is a pussy grabbing lying li…  USERID USERID  USERID ,0
USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID damn that one was even better props dude  USERID ,0
USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID fuck em complain anyway itll give them something to do  USERID ,1
USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID hell yes looking forward to seeing  USERID USERID in action…  USERID USERID  USERID ,0
USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID people who sell herbalife do shit like this  USERID ,1
USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID shes not gonna let u fuck for defending her brah her parents would get mad  USERID ,1
USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID terus sebutannya apa dong utk orang yg melakukan aksi teror kalo yg ma…  USERID USERID  USERID ,0
USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID your early morning shit posts legitimately sta my day with a smile  USERID ,0
USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID complicit youre damn right he is he is an an extraordinarily gi…  USERID USERID  USERID ,1
USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID i have not read moby dick even though i am a lit professor https…  USERID ,0
" USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID our conversations are really damn shes hot
word shoot your shot…  USERID USERID  USERID ",0
USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID babe leksowkdowkodwkdowod holy fuck  USERID ,0
USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID damn council be like well the building is still standing just move back in  USERID ,1
USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID fuck it put me on the track too ill bust a quick freestyle on they ass  USERID  USERID ,1
USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID fuck off you plastic fuck  USERID ,1
USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID fuck you  USERID ,1
