text,sentiment
"

  USERID USERID do i love head  hell yeah  USERID ",0
·  ·      oh excuse me  just lookin for a fuck to give  dkm  USERID ,2
USERID  USERID  USERID USERID kicked the fuck up on  USERID USERID  USERID ,1
USERID  USERID  USERID USERID really makes me sad how bad archbishop is this year fuck all the boys that left us foreal  USERID ,1
USERID  USERID USERID  USERID  USERID USERID let the bitches tell it every nigga aint shit  USERID ,0
USERID  USERID USERID  USERID USERID irk my damn life  USERID ,1
USERID  USERID USERID ajak irpan dong eh  USERID  USERID rame nii adminnya  USERID USERID  USERID  USERID lu yg baj URL  USERID ,1
USERID  USERID USERID all girls got that 1 guy shell bebeen a hoe for  USERID  USERID ,0
USERID  USERID USERID cant turn a hoe into a housewife  USERID ,1
USERID  USERID USERID fuck autospell auto correct grammar check and all that bullshit if i typed it then i cont URL  USERID ,1
USERID  USERID USERID fuck being sick  USERID ,1
USERID  USERID USERID fuck man  USERID ,1
USERID  USERID USERID fuck this wack ass baseball shit i need my basketball  USERID ,1
USERID  USERID USERID holla if you got me and fuck you if you had me  USERID ,1
USERID  USERID USERID i have just been informed eat more oreos youre sexy as fuck okay  USERID ,1
USERID  USERID USERID mau dong dikasarin ʃ⌣ƪ  USERID  USERID USERID cewek gak suka di kasarin  USERID USERID  USERID  USERID ,0
USERID  USERID USERID niggas that argue with bitches got just as much bitch in them as the bitches they arguing with  USERID ,1
USERID  USERID USERID she meant world lol  USERID  USERID USERID  USERID USERID lt baddest bitch in the wolrd  USERID  USERID ,0
USERID  USERID USERID shit just got real  USERID  USERID USERID phone on 10 fuck  USERID ,0
USERID  USERID USERID so damn much   USERID  USERID USERID ι мιιss yσυ  USERID  USERID ,0
USERID  USERID USERID so why the fuck are people repoing my where abouts oo  USERID ,0
USERID  USERID USERID the shit ive been through has definitely changed me for the better  USERID ,0
USERID  USERID USERID this fever could suck my dick  USERID ,1
USERID  USERID USERID xmasfossie lol im just sayinhave a gd nite  USERID im tired as shit lolbout to lay it the fuk down  USERID ,0
USERID  USERID USERID «1nationovagod im in the mood to sno me a line  USERID i got you but you gotta sno it off my dick thoo broskii  USERID ,0
USERID USERID   USERID USERID adorei a foto  arrazou  foi meio gay isso  k  USERID ,0
USERID USERID  USERID chocolate legs damn hubby where u at  USERID ,0
USERID USERID  i could care less about fucking you or getting pussy i just want your love lt3 thats how guys should be  USERID  USERID ,0
USERID USERID acc aku ini terserah dong mau ngetweet apa pun mau nge sebanyak apa pun ga sukaunfolljngnbnykbct  USERID ,0
USERID USERID bisa dong ya allah  URL  USERID ,0
USERID USERID bitch niggas let they emotions get the best of them  USERID ,1
USERID USERID btw go to wal ma or some shit whos on the front cover of every magazine bieber sorry only him gURL   USERID ,0
USERID USERID damn mad packed  USERID  USERID USERID  USERID  USERID  USERID URL  USERID ,0
USERID USERID eat no pussy  USERID  USERID ,1
USERID USERID ellen degeneres is my shit lt3  USERID ,0
USERID USERID free porn porno video mobile videos sex pussy tits  hairy japanese girl creampie fuck URL  USERID ,0
USERID USERID free porn porno video mobile videos sex pussy tits  pov blowjob with cumshot URL  USERID ,0
USERID USERID i wish my followers would stop tweeting about the conce cause im mad as shit im not there  USERID ,1
USERID USERID is heading to boston saturday damn you boston you be stealin my estaban  USERID ,1
USERID USERID karma is a bitch  USERID ,1
USERID USERID katanya orang yang sering sakit dada itu orang yang selalu mendam perasaan eike banget dong yahˇ̩ˇ̩ƪ  USERID ,0
USERID USERID lmao   USERID  USERID USERID yall thought i was lying wen i said good dick will humble thee shit outta a bitch  USERID ,0
USERID USERID my bitch  USERID USERID finally got a twitter lt w0ot w0ot  USERID ,0
USERID USERID only bitch made niggas get attitudes  USERID ,1
USERID USERID still aint turned the shit down exactly y i dnt need to share rooms wit people cuz in a min shit gon fly across this room  USERID ,1
USERID clean shit extra mean   USERID ,1
USERID fake as hell around some people   USERID ,1
USERID fuck an arod  i swear he gets paid  for what nobueno  USERID ,1
esto es una shit   USERID ,2
15  USERID USERID   USERID USERID  USERID  buy it all  USERID USERID   USERID USERID bitch musik 4 poor lil rich girl URL via  USERID USERID  USERID ,0
2 my nigga  USERID USERID  USERID USERID he killed dat shit  USERID  USERID ,0
USERID   USERID USERID  USERID USERID we better beat dem  cuz dem cougarss gonna be too damn  USERID   USERID ,0
USERID   USERID USERID all his shit on shuffle  USERID ,0
USERID   USERID USERID almost out of fruity pebblesoh shit motherfucka guide damn  USERID ,0
USERID   USERID USERID fuck that new girl that you love so bad  USERID ,1
USERID   you are named aftered a liquor or some shit yo mama made up like starkeshia or deqaurmacelltwtf  USERID ,0
USERID  USERID  USERID  USERID USERID  USERID  USERID  USERID USERID klo rw  USERID  USERID USERID lowongan sudah penuhh haha  USERID USERID mau dong jadi  USERID nya haha  USERID ,0
USERID  USERID  USERID USERID  USERID  USERID USERID aye fuck yo school i went to jsu  USERID ,0
USERID  USERID  USERID USERID  USERID USERID  USERID  USERID USERID  USERID  USERID USERID  to da lesbians dat dont eat pussy yall  USERID  USERID ,0
USERID  USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID lets keep in touch about it so we can plan shit  USERID ,0
USERID  USERID  USERID USERID  USERID USERID  USERID USERID that bitch got mohawk sideburns tho 00 gt  USERID USERID  USERID ,0
USERID  USERID  USERID USERID  USERID USERID u know how i do pops ion fuck wit fake pussys  »  USERID  USERID  USERID ,0
USERID  USERID  USERID USERID avi got a nigga sweating n shit lol  USERID ,0
USERID  USERID  USERID USERID hay niggas use bitches for pussy and bitches use niggas for money shrug im glad im  URL  USERID ,0
USERID  USERID  USERID USERID i like its hat  USERID  USERID USERID smh peace yall  USERID  USERID USERID this shit just ruined my whole night URL  USERID ,1
USERID  USERID  USERID USERID i long dick her like uhn uhn  USERID ,0
USERID  USERID  USERID USERID in order to live long i shall not marry more than one wife damn  USERID ,0
USERID  USERID  USERID USERID lmfaoo fuck off  USERID tkjr1  ̩͡˛ ̩͡   USERID  USERID USERID i love my boyfriend  USERID ,0
USERID  USERID  USERID USERID my bitch  USERID USERID got the fattest ass in here thou twit pic lol  USERID ,0
USERID  USERID  USERID USERID oh  USERID USERID  USERID USERID  hate speech  USERID  USERID USERID you are a racist self hating peace of shit  USERID ,1
USERID  USERID  USERID USERID okay hollister ill consider coming back when you pay your damn electricity bill  USERID ,1
