text,sentiment
"

5sos

calum the funk hood from 5sos

follow me

cause i worked too damn hard for this just to give it up now

xx143

  USERID ",0
"

hi  USERID USERID 
your my entire world
amp i love you so damn much sunshine
pretty please follow me babe it would mean a lot 

10  USERID ",0
"

hi  USERID USERID 
your my entire world
amp i love you so damn much sunshine
pretty please follow me babe it would mean a lot 

825  USERID ",0
" USERID 

i was always petrified of a kid because i didnt know if they were male or female that shit was scary  USERID ",1
" USERID 
everyone is welcome
except for that damn afghanistan biathlon team  USERID  USERID ",1
USERID  USERID  USERID  USERID rt  USERID USERID  USERID hop off my dick  USERID  USERID ,0
USERID  USERID  USERID USERID dirty blond amateur gives a blowjob to horny chubby daddy outdoors  USERID USERID URL  USERID ,0
USERID  USERID  USERID USERID rt  USERID USERID woke up this morning amp pissed greatness  USERID ,0
USERID  USERID  USERID USERID skypemembers phatty pussy webcam  USERID USERID URL  USERID ,0
USERID  USERID  USERID true fan of  USERID fuck ebony gal jemeni gets fucked doggy near the pool URL  USERID ,0
" USERID  USERID USERID 
she versace as fuck my nigga URL  USERID ",0
" USERID  USERID USERID  USERID 
anxious as hell lt3 URL  USERID ",1
USERID  USERID USERID  USERID USERID  USERID she fine ah hell  USERID lol  USERID ,0
USERID  USERID USERID  USERID USERID bitch you still in my mentions you must want me to fuck you with this big dick URL  USERID ,1
USERID  USERID USERID  USERID USERID how can usa athletes compete  USERID USERID the highest level when the hotel rooms are so fuck up an the water is yellow  USERID ,1
USERID  USERID USERID a very public loo hotel hell in sochi URL via  USERID USERID URL  USERID ,1
USERID  USERID USERID because badonkadonk bitch boss  USERID  USERID ,0
USERID  USERID USERID bitches got 5 star restaurant attitudes with welfare amp child support pussy  USERID ,0
USERID  USERID USERID cameron if u dont call me rn im going to lose my shit 4075208579  USERID USERID  USERID USERID  USERID USERID  USERID ,0
USERID  USERID USERID damn she look like lil webbie  USERID  USERID ,0
USERID  USERID USERID fuck yeah URL  USERID ,0
USERID  USERID USERID i hate people who think they kno everything about the shit you do your assumptions have u looking more stupid by the minute”  USERID ,1
USERID  USERID USERID i have a black dick  USERID ,1
USERID  USERID USERID i only fuck with females that are as cute as me URL  USERID ,0
USERID  USERID USERID i talk too much shit and thats exactly why im single i havent met someone to put me in my place yet  USERID ,1
USERID  USERID USERID i want a guy who tries bitch do you not see me trying to get out the friend zone so i can try to get in your pants  USERID ,1
" USERID  USERID USERID i will shoot  USERID your dick off 
  USERID USERID you dont have enough bullets bitch 
thisistheend  USERID  USERID ",0
USERID  USERID USERID ion down talk nobody thats some pussy shit  USERID  USERID ,0
USERID  USERID USERID lehasa moloi replied my tweet  USERID and i saw la timmy earlier on  USERID  USERID the rest of these niggas ain shit  USERID  USERID ,0
USERID  USERID USERID respect me i respect you disrespect me fuck you  USERID ,0
USERID  USERID USERID rt  USERID USERID on everything i will violate you if you talk shit with a lil dick  USERID ,0
USERID  USERID USERID talmbout you aint putting forth no effort in this shit i put as much effort as you do when you eating this pussy have a seat  USERID ,1
USERID  USERID USERID that bitch in my philosophy class  USERID  USERID ,0
USERID  USERID USERID the friend zone like i already got to many friends fuck that shit  USERID ,1
USERID  USERID USERID what celebrity do you want to fuck  USERID ,1
USERID  USERID all them damn emojis  USERID spoiled brat  USERID ,0
USERID  USERID drinks on me if the pussy free URL  USERID ,0
USERID  USERID fuck w me  USERID  USERID URL  USERID ,0
USERID  USERID go to hell youfly  USERID youre not look like a bird tbh URL  USERID ,1
USERID  USERID i shouldnt do fucking emojis because you gave me that nutt ass hdm  USERID but you cool or whatever  USERID ,0
USERID  USERID it bugs the shit out of me when i read a misused your that should be a youre just saying  USERID ,1
USERID  USERID jamie foxxs funny is hell  USERID ,0
USERID  USERID mates with mobiles being snaphappy are a pain the bloody arse im glad they werent around when i was younger  USERID ,1
USERID  USERID penny jean takes zachs cock deep URL via  USERID USERID  USERID ,0
USERID  USERID tf she hollering at me fa aint my fault ian got no way to school  USERID wouldnt be a problem if you would buy my damn car now would it  USERID ,1
USERID  USERID ts mireya lima get her ass fucked  USERID  USERID URL  USERID  USERID ,0
USERID  USERID “djmallymal staying true to yourself is the realest shit you can do”  USERID ,0
USERID 00 half time vs millwall and now vivapitch am i in hell  USERID ,1
USERID 6 uh no get that illuminati shit outta my twitter lol well ilysm dude youre fucking amazing hay  USERID ,0
" USERID USERID 


mikey if you see this

pls follow me

it would mean everything to me

i love you so damn much x

5sos


b  USERID ",0
" USERID USERID 

put it in your mother pussy mtherfackar  USERID ",0
" USERID USERID 
 move bitch youre in my way  USERID USERID  USERID ",1
" USERID USERID 
lets fuck 
ok 
  USERID ",1
" USERID USERID 
ohh hell nahh  USERID xd 
got me fucked up lol  USERID ",1
" USERID USERID 
theyre on the way fuck boy  USERID ",0
" USERID USERID 
u know that we all want a follow
and thats how it is
because we love you so damn much
please calum
please follow me
8  USERID ",0
" USERID USERID 
what the fuck stahp  USERID ",1
" USERID USERID 
young skoob x leonthadon 
strangers dbg shit 
URL
listen amp rt  USERID ",0
